f,aircraft,origin,destination,takeoff,landing,delays
2,40,48,50,Sun May 07 12:20:00 SGT 2017,Sun May 07 15:10:00 SGT 2017,120_
20,29,72,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 17:55:00 SGT 2017,70_
23,128,32,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 16:40:00 SGT 2017,65_100_85_120_
28,142,50,72,Sun May 07 16:25:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,115_110_
33,142,72,50,Sun May 07 20:25:00 SGT 2017,Sun May 07 23:10:00 SGT 2017,70_105_75_
36,38,50,67,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,435_430_
51,142,67,50,Sun May 07 14:30:00 SGT 2017,Sun May 07 16:55:00 SGT 2017,480_40_45_30_
54,142,72,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,180_190_
71,40,50,48,Sun May 07 15:55:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,120_
73,24,36,49,Sat May 06 20:25:00 SGT 2017,Sat May 06 21:40:00 SGT 2017,1160_
84,40,48,50,Sun May 07 20:15:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,100_
99,129,67,49,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,455_170_175_
102,142,68,50,Sun May 07 11:55:00 SGT 2017,Sun May 07 14:10:00 SGT 2017,645_200_170_205_175_
114,69,38,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:20:00 SGT 2017,290_
117,118,62,49,Sun May 07 09:20:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,470_460_
128,43,50,67,Sun May 07 13:45:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,265_
131,139,72,49,Sun May 07 06:35:00 SGT 2017,Sun May 07 09:20:00 SGT 2017,465_470_
134,32,67,50,Sun May 07 17:15:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,390_
137,120,49,67,Sun May 07 11:05:00 SGT 2017,Sun May 07 13:45:00 SGT 2017,480_530_670_
156,133,49,72,Sun May 07 20:30:00 SGT 2017,Sun May 07 23:30:00 SGT 2017,0_115_
163,33,49,62,Sun May 07 21:05:00 SGT 2017,Sun May 07 22:45:00 SGT 2017,115_120_105_
185,132,57,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,640_390_350_
194,116,49,62,Sun May 07 17:30:00 SGT 2017,Sun May 07 19:15:00 SGT 2017,115_100_105_
200,99,49,62,Sun May 07 14:30:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,240_280_265_235_
209,86,62,49,Sun May 07 20:20:00 SGT 2017,Sun May 07 22:15:00 SGT 2017,115_
212,136,37,49,Sun May 07 08:35:00 SGT 2017,Sun May 07 10:40:00 SGT 2017,385_390_395_
215,28,62,49,Sun May 07 11:40:00 SGT 2017,Sun May 07 13:30:00 SGT 2017,240_
221,109,49,27,Sun May 07 14:15:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,290_340_295_300_
222,75,62,49,Sun May 07 19:00:00 SGT 2017,Sun May 07 21:00:00 SGT 2017,105_
243,128,49,57,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:45:00 SGT 2017,235_
253,96,49,62,Sun May 07 16:00:00 SGT 2017,Sun May 07 17:45:00 SGT 2017,195_235_190_
