f,aircraft,origin,destination,takeoff,landing,delays
54,63,72,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,160_
124,86,32,49,Sun May 07 07:25:00 SGT 2017,Sun May 07 08:55:00 SGT 2017,490_
185,107,57,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,265_
378,8,60,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,230_
445,140,49,79,Sat May 06 12:05:00 SGT 2017,Sat May 06 15:35:00 SGT 2017,175_
517,140,79,52,Sat May 06 18:15:00 SGT 2017,Sat May 06 21:05:00 SGT 2017,120_
545,98,63,49,Sun May 07 10:00:00 SGT 2017,Sun May 07 10:50:00 SGT 2017,380_
593,86,61,25,Sat May 06 13:15:00 SGT 2017,Sat May 06 16:15:00 SGT 2017,105_
594,101,61,25,Sun May 07 13:15:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,275_
723,140,30,50,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:20:00 SGT 2017,165_
859,101,37,45,Sat May 06 14:55:00 SGT 2017,Sat May 06 17:10:00 SGT 2017,180_
947,69,50,37,Sun May 07 16:00:00 SGT 2017,Sun May 07 18:10:00 SGT 2017,110_
961,69,37,75,Sun May 07 19:10:00 SGT 2017,Sun May 07 23:25:00 SGT 2017,120_
973,101,45,38,Sat May 06 17:05:00 SGT 2017,Sat May 06 19:10:00 SGT 2017,240_
1019,69,31,50,Sun May 07 13:50:00 SGT 2017,Sun May 07 15:40:00 SGT 2017,80_
1069,4,34,50,Sun May 07 18:20:00 SGT 2017,Sun May 07 20:25:00 SGT 2017,180_
1084,4,50,27,Sun May 07 21:10:00 SGT 2017,Sun May 07 23:45:00 SGT 2017,180_
1133,122,42,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:00:00 SGT 2017,190_
1215,4,33,49,Sun May 07 10:15:00 SGT 2017,Sun May 07 11:55:00 SGT 2017,310_
1350,104,50,7,Sat May 06 09:00:00 SGT 2017,Sat May 06 10:25:00 SGT 2017,360_
1433,104,7,50,Sun May 07 11:25:00 SGT 2017,Sun May 07 13:10:00 SGT 2017,230_
1450,109,11,61,Sat May 06 17:10:00 SGT 2017,Sat May 06 19:30:00 SGT 2017,1290_
1632,104,71,38,Sun May 07 19:50:00 SGT 2017,Sun May 07 21:25:00 SGT 2017,240_
1633,104,38,50,Sun May 07 22:25:00 SGT 2017,Sun May 07 23:50:00 SGT 2017,240_
1636,104,50,38,Sun May 07 14:35:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,195_
1639,104,38,71,Sun May 07 17:25:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,180_
2359,101,50,37,Sat May 06 10:55:00 SGT 2017,Sat May 06 13:00:00 SGT 2017,245_

