f,aircraft,origin,destination,takeoff,landing,delays
128,33,50,67,Sun May 07 13:45:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,245_
134,33,67,50,Sun May 07 17:15:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,240_
200,77,49,62,Sun May 07 14:30:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,220_
221,65,49,27,Sun May 07 14:15:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,225_
222,77,62,49,Sun May 07 19:00:00 SGT 2017,Sun May 07 21:00:00 SGT 2017,120_
287,6,14,49,Sun May 07 12:20:00 SGT 2017,Sun May 07 13:40:00 SGT 2017,480_
295,6,61,14,Sun May 07 09:50:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,480_
471,76,57,49,Sun May 07 13:00:00 SGT 2017,Sun May 07 14:45:00 SGT 2017,160_
489,65,36,49,Sun May 07 09:45:00 SGT 2017,Sun May 07 11:05:00 SGT 2017,365_
545,133,63,49,Sun May 07 10:00:00 SGT 2017,Sun May 07 10:50:00 SGT 2017,395_
555,110,25,61,Sun May 07 17:15:00 SGT 2017,Sun May 07 20:15:00 SGT 2017,300_
701,140,49,30,Sun May 07 15:45:00 SGT 2017,Sun May 07 18:35:00 SGT 2017,150_
777,76,49,46,Sun May 07 16:30:00 SGT 2017,Sun May 07 19:15:00 SGT 2017,105_
876,140,46,49,Sun May 07 12:30:00 SGT 2017,Sun May 07 15:20:00 SGT 2017,125_
1001,107,42,49,Sun May 07 12:20:00 SGT 2017,Sun May 07 14:20:00 SGT 2017,175_
1041,133,49,42,Sun May 07 16:35:00 SGT 2017,Sun May 07 18:45:00 SGT 2017,100_
1063,80,31,49,Sun May 07 14:30:00 SGT 2017,Sun May 07 15:55:00 SGT 2017,420_360_
1080,44,31,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,265_270_
1133,77,42,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:00:00 SGT 2017,185_
1136,80,50,31,Sun May 07 14:55:00 SGT 2017,Sun May 07 16:25:00 SGT 2017,180_215_
1152,33,49,31,Sun May 07 15:50:00 SGT 2017,Sun May 07 17:20:00 SGT 2017,150_
1172,30,31,49,Sun May 07 18:45:00 SGT 2017,Sun May 07 20:15:00 SGT 2017,120_
1229,6,49,68,Sun May 07 14:00:00 SGT 2017,Sun May 07 16:05:00 SGT 2017,240_
1261,6,68,49,Sun May 07 16:55:00 SGT 2017,Sun May 07 19:00:00 SGT 2017,240_
1300,102,62,49,Sun May 07 13:15:00 SGT 2017,Sun May 07 15:05:00 SGT 2017,130_150_
1497,62,50,60,Sun May 07 14:05:00 SGT 2017,Sun May 07 16:10:00 SGT 2017,225_
1745,112,27,67,Sat May 06 19:05:00 SGT 2017,Sat May 06 21:45:00 SGT 2017,420_
1746,65,27,67,Sun May 07 19:05:00 SGT 2017,Sun May 07 21:45:00 SGT 2017,180_
1758,116,68,61,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:50:00 SGT 2017,250_
1796,62,60,52,Sun May 07 17:10:00 SGT 2017,Sun May 07 18:55:00 SGT 2017,240_
1799,62,52,61,Sun May 07 20:10:00 SGT 2017,Sun May 07 21:30:00 SGT 2017,240_

