f,aircraft,origin,destination,takeoff,landing,delays
2,40,48,50,Sun May 07 12:20:00 SGT 2017,Sun May 07 15:10:00 SGT 2017,120_
54,104,72,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,160_
71,40,50,48,Sun May 07 15:55:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,135_
73,24,36,49,Sat May 06 20:25:00 SGT 2017,Sat May 06 21:40:00 SGT 2017,1160_
84,40,48,50,Sun May 07 20:15:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,120_
99,4,67,49,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,180_
102,69,68,50,Sun May 07 11:55:00 SGT 2017,Sun May 07 14:10:00 SGT 2017,180_
117,6,62,49,Sun May 07 09:20:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,360_
131,8,72,49,Sun May 07 06:35:00 SGT 2017,Sun May 07 09:20:00 SGT 2017,480_
200,57,49,62,Sun May 07 14:30:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,230_
212,132,37,49,Sun May 07 08:35:00 SGT 2017,Sun May 07 10:40:00 SGT 2017,385_
215,28,62,49,Sun May 07 11:40:00 SGT 2017,Sun May 07 13:30:00 SGT 2017,235_
222,57,62,49,Sun May 07 19:00:00 SGT 2017,Sun May 07 21:00:00 SGT 2017,120_
253,74,49,62,Sun May 07 16:00:00 SGT 2017,Sun May 07 17:45:00 SGT 2017,140_
287,19,14,49,Sun May 07 12:20:00 SGT 2017,Sun May 07 13:40:00 SGT 2017,480_
295,19,61,14,Sun May 07 09:50:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,480_
303,111,79,60,Mon May 08 16:40:00 SGT 2017,Mon May 08 18:20:00 SGT 2017,120_
317,111,60,50,Mon May 08 19:20:00 SGT 2017,Mon May 08 21:30:00 SGT 2017,120_
322,55,79,60,Sun May 07 16:40:00 SGT 2017,Sun May 07 18:20:00 SGT 2017,120_
324,55,60,50,Sun May 07 19:20:00 SGT 2017,Sun May 07 21:30:00 SGT 2017,120_
351,6,55,77,Sun May 07 15:10:00 SGT 2017,Sun May 07 17:20:00 SGT 2017,360_
356,6,77,55,Sun May 07 18:10:00 SGT 2017,Sun May 07 20:35:00 SGT 2017,360_
359,6,55,49,Sun May 07 21:20:00 SGT 2017,Sun May 07 23:30:00 SGT 2017,420_
377,74,79,49,Sun May 07 11:55:00 SGT 2017,Sun May 07 15:35:00 SGT 2017,115_
380,6,49,55,Sun May 07 12:20:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,360_
