f,aircraft,origin,destination,takeoff,landing,delays
2,40,48,50,Sun May 07 12:20:00 SGT 2017,Sun May 07 15:10:00 SGT 2017,140_
20,29,72,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 17:55:00 SGT 2017,120_
71,40,50,48,Sun May 07 15:55:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,140_
73,24,36,49,Sat May 06 20:25:00 SGT 2017,Sat May 06 21:40:00 SGT 2017,1160_
84,40,48,50,Sun May 07 20:15:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,120_
102,75,68,50,Sun May 07 11:55:00 SGT 2017,Sun May 07 14:10:00 SGT 2017,170_
114,5,38,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:20:00 SGT 2017,285_
117,38,62,49,Sun May 07 09:20:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,360_
128,43,50,67,Sun May 07 13:45:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,250_
134,43,67,50,Sun May 07 17:15:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,240_
185,132,57,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,275_
212,115,37,49,Sun May 07 08:35:00 SGT 2017,Sun May 07 10:40:00 SGT 2017,385_
215,28,62,49,Sun May 07 11:40:00 SGT 2017,Sun May 07 13:30:00 SGT 2017,235_
221,80,49,27,Sun May 07 14:15:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,300_
253,96,49,62,Sun May 07 16:00:00 SGT 2017,Sun May 07 17:45:00 SGT 2017,240_
274,15,62,50,Sun May 07 15:05:00 SGT 2017,Sun May 07 16:30:00 SGT 2017,65_
378,8,60,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,250_
485,132,49,57,Sun May 07 16:50:00 SGT 2017,Sun May 07 18:40:00 SGT 2017,70_
489,109,36,49,Sun May 07 09:45:00 SGT 2017,Sun May 07 11:05:00 SGT 2017,480_
525,138,25,50,Sun May 07 16:20:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,360_
532,28,49,25,Sun May 07 15:00:00 SGT 2017,Sun May 07 17:50:00 SGT 2017,195_
545,133,63,49,Sun May 07 10:00:00 SGT 2017,Sun May 07 10:50:00 SGT 2017,405_
557,22,25,49,Sun May 07 10:55:00 SGT 2017,Sun May 07 14:00:00 SGT 2017,300_
575,20,25,49,Sun May 07 13:05:00 SGT 2017,Sun May 07 16:00:00 SGT 2017,175_
579,138,50,25,Sun May 07 16:00:00 SGT 2017,Sun May 07 18:50:00 SGT 2017,155_
591,23,2,49,Sat May 06 18:35:00 SGT 2017,Sun May 07 06:10:00 SGT 2017,665_
594,122,61,25,Sun May 07 13:15:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,285_
603,137,41,49,Sun May 07 13:55:00 SGT 2017,Sun May 07 15:45:00 SGT 2017,190_
620,137,49,27,Sun May 07 16:45:00 SGT 2017,Sun May 07 19:40:00 SGT 2017,180_
653,49,30,49,Sun May 07 19:25:00 SGT 2017,Sun May 07 22:05:00 SGT 2017,120_
656,142,49,66,Sun May 07 17:35:00 SGT 2017,Sun May 07 19:00:00 SGT 2017,120_
674,142,66,25,Sun May 07 20:00:00 SGT 2017,Sun May 07 22:25:00 SGT 2017,120_
723,69,30,50,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:20:00 SGT 2017,180_
737,23,49,25,Sun May 07 17:00:00 SGT 2017,Sun May 07 20:05:00 SGT 2017,90_
743,28,25,50,Sun May 07 18:55:00 SGT 2017,Sun May 07 21:45:00 SGT 2017,180_
906,103,46,49,Sun May 07 14:10:00 SGT 2017,Sun May 07 16:55:00 SGT 2017,110_
947,69,50,37,Sun May 07 16:00:00 SGT 2017,Sun May 07 18:10:00 SGT 2017,130_
961,69,37,75,Sun May 07 19:10:00 SGT 2017,Sun May 07 23:25:00 SGT 2017,120_
983,71,38,49,Sun May 07 12:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,210_
